公告,#genre#
金色学堂,http://125.123.123.125:4022/rtp/233.50.200.122:5140
金色学堂,http://115.203.246.67:58888/rtp/233.50.200.122:5140
金色学堂,http://125.123.146.241:4022/rtp/233.50.200.122:5140
乐游,http://125.123.123.125:4022/rtp/233.50.200.148:5140
乐游,http://115.203.246.67:58888/rtp/233.50.200.148:5140
乐游,http://125.123.146.241:4022/rtp/233.50.200.148:5140
中国教育4台,http://125.123.123.125:4022/rtp/233.50.200.162:5140
中国教育4台,http://115.203.246.67:58888/rtp/233.50.200.162:5140
中国教育4台,http://125.123.146.241:4022/rtp/233.50.200.162:5140
快乐垂钓,http://125.123.123.125:4022/rtp/233.50.200.123:5140
快乐垂钓,http://115.203.246.67:58888/rtp/233.50.200.123:5140
快乐垂钓,http://125.123.146.241:4022/rtp/233.50.200.123:5140
茶,http://125.123.123.125:4022/rtp/233.50.201.188:5140
茶,http://115.203.246.67:58888/rtp/233.50.201.188:5140
茶,http://125.123.146.241:4022/rtp/233.50.201.188:5140
北京联通,#genre#
CGTN,http://123.112.212.112:4022/rtp/239.3.1.215:4220
CGTN,http://114.254.21.167:4022/rtp/239.3.1.215:4220
CGTN,http://123.113.96.173:4022/rtp/239.3.1.215:4220
CGTN纪录,http://123.112.212.112:4022/rtp/239.3.1.216:4220
CGTN纪录,http://114.254.21.167:4022/rtp/239.3.1.216:4220
CGTN纪录,http://123.113.96.173:4022/rtp/239.3.1.216:4220
CGTN西语,http://123.112.212.112:4022/rtp/239.3.1.217:4220
CGTN西语,http://114.254.21.167:4022/rtp/239.3.1.217:4220
CGTN西语,http://123.113.96.173:4022/rtp/239.3.1.217:4220
CGTN法语,http://123.112.212.112:4022/rtp/239.3.1.218:4220
CGTN法语,http://114.254.21.167:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.113.96.173:4022/rtp/239.3.1.218:4220
CGTN阿语,http://123.112.212.112:4022/rtp/239.3.1.219:4220
CGTN阿语,http://114.254.21.167:4022/rtp/239.3.1.219:4220
CGTN阿语,http://123.113.96.173:4022/rtp/239.3.1.219:4220
CGTN俄语,http://123.112.212.112:4022/rtp/239.3.1.220:4220
CGTN俄语,http://114.254.21.167:4022/rtp/239.3.1.220:4220
CGTN俄语,http://123.113.96.173:4022/rtp/239.3.1.220:4220
华数4K影视,http://123.112.212.112:4022/rtp/239.2.1.236:2000
华数4K影视,http://114.254.21.167:4022/rtp/239.2.1.236:2000
华数4K影视,http://123.113.96.173:4022/rtp/239.2.1.236:2000
北京4K,http://123.112.212.112:4022/rtp/239.3.1.249:8001
北京4K,http://114.254.21.167:4022/rtp/239.3.1.249:8001
北京4K,http://123.113.96.173:4022/rtp/239.3.1.249:8001
北京淘电影,http://123.112.212.112:4022/rtp/239.3.1.250:8001
北京淘电影,http://114.254.21.167:4022/rtp/239.3.1.250:8001
北京淘电影,http://123.113.96.173:4022/rtp/239.3.1.250:8001
北京淘剧场,http://123.112.212.112:4022/rtp/239.3.1.95:8001
北京淘剧场,http://114.254.21.167:4022/rtp/239.3.1.95:8001
北京淘剧场,http://123.113.96.173:4022/rtp/239.3.1.95:8001
北京淘精彩,http://123.112.212.112:4022/rtp/239.3.1.178:8001
北京淘精彩,http://114.254.21.167:4022/rtp/239.3.1.178:8001
北京淘精彩,http://123.113.96.173:4022/rtp/239.3.1.178:8001
北京淘娱乐,http://123.112.212.112:4022/rtp/239.3.1.100:8001
北京淘娱乐,http://114.254.21.167:4022/rtp/239.3.1.100:8001
北京淘娱乐,http://123.113.96.173:4022/rtp/239.3.1.100:8001
